"asa_code","regex"
"302014","30201[46]:\s*(?<action>\S+)\s+(?<transport>\S+)\s+connection\s+(?<session_id>\d+)\s+for\s+(?<src_interface>[^:\s]+)\s*:\s*(?:(?<src_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>\S+))\s*\/\s*(?<src_port>\d{1,5})(?:\s*\(\s*(?:(?<src_nt_domain>[\S^\\]+)\\)?(?<src_user>[\w\-_]+)\s*\))?\s+to\s+(?<dest_interface>[^:]+)\s*:\s*(?:(?<dest_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>\S+))\s*\/\s*(?<dest_port>\d{1,5})(?:\s*\(\s*(?:(?<dest_nt_domain>[\S^\\]+)\\)?(?<dest_user>[\w\-_]+)\s*\))?\s+[Dd]uration:?\s*(?:(?<duration_day>\d+)[dD])?\s*(?<duration_hour>\d+)[Hh]?\s*:\s*(?<duration_minute>\d+)[Mm]?\s*:\s*(?<duration_second>\d+)[Ss]?\s+bytes\s+(?<bytes>\d+)\s*(?:(?<reason>.+?(?=\s+from))\s+from\s+(?<teardown_initiator>\S+)|(?<reason_ALT>[^\(]+))?\s*(?:\(\s*(?<user>[^\)\s]+)\s*\))?"
"302016","30201[46]:\s*(?<action>\S+)\s+(?<transport>\S+)\s+connection\s+(?<session_id>\d+)\s+for\s+(?<src_interface>[^:\s]+)\s*:\s*(?:(?<src_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>\S+))\s*\/\s*(?<src_port>\d{1,5})(?:\s*\(\s*(?:(?<src_nt_domain>[\S^\\]+)\\)?(?<src_user>[\w\-_]+)\s*\))?\s+to\s+(?<dest_interface>[^:]+)\s*:\s*(?:(?<dest_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>\S+))\s*\/\s*(?<dest_port>\d{1,5})(?:\s*\(\s*(?:(?<dest_nt_domain>[\S^\\]+)\\)?(?<dest_user>[\w\-_]+)\s*\))?\s+[Dd]uration:?\s*(?:(?<duration_day>\d+)[dD])?\s*(?<duration_hour>\d+)[Hh]?\s*:\s*(?<duration_minute>\d+)[Mm]?\s*:\s*(?<duration_second>\d+)[Ss]?\s+bytes\s+(?<bytes>\d+)\s*(?:(?<reason>.+?(?=\s+from))\s+from\s+(?<teardown_initiator>\S+)|(?<reason_ALT>[^\(]+))?\s*(?:\(\s*(?<user>[^\)\s]+)\s*\))?"
"302013","30201[35]:\s*(?<action>\S+)\s+(?<direction>\w+bound)\s+(?<transport>\S+)(?:\s+connection)?\s+(?<session_id>\d+)\s+for\s+(?<src_interface>[^:]+)\s*:\s*(?:(?<src_ip>(?:[\d+\.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>\S+))\s*\/\s*(?<src_port>\d+)\s*(?:\(\s*(?:(?<src_translated_ip>(?:[\d+\.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_translated_host>\S+))\s*\/\s*(?<src_translated_port>\d+)\s*\)(?:\s*\(\s*(?:(?<src_nt_domain>[\S^\\\[]+)\s*[\\\[]\s*)?(?<src_user>[^\s\|\)]+)(?:[^\]]+\])?\s*\))?\s+to\s+(?<dest_interface>[^:]+)\s*:\s*(?:(?<dest_ip>(?:[\d+\.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>\S+))\s*\/\s*(?<dest_port>\d{1,5})\s*\(\s*(?:(?<dest_translated_ip>(?:[\d+\.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_translated_host>\S+))\s*\/\s*(?<dest_translated_port>\d+)\s*\)(?:\s*\(\s*(?:(?<dest_nt_domain>[\S^\\]+)\\)?(?<dest_user>[\w\-_]+)\s*\))?(?:\s*\(\s*(?<user>[^\)\s]+)\s*\))?|\(\s*(?<user_ALT>\S+)\s*\))"
"302015","30201[35]:\s*(?<action>\S+)\s+(?<direction>\w+bound)\s+(?<transport>\S+)(?:\s+connection)?\s+(?<session_id>\d+)\s+for\s+(?<src_interface>[^:]+)\s*:\s*(?:(?<src_ip>(?:[\d+\.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>\S+))\s*\/\s*(?<src_port>\d+)\s*(?:\(\s*(?:(?<src_translated_ip>(?:[\d+\.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_translated_host>\S+))\s*\/\s*(?<src_translated_port>\d+)\s*\)(?:\s*\(\s*(?:(?<src_nt_domain>[\S^\\\[]+)\s*[\\\[]\s*)?(?<src_user>[^\s\|\)]+)(?:[^\]]+\])?\s*\))?\s+to\s+(?<dest_interface>[^:]+)\s*:\s*(?:(?<dest_ip>(?:[\d+\.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>\S+))\s*\/\s*(?<dest_port>\d{1,5})\s*\(\s*(?:(?<dest_translated_ip>(?:[\d+\.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_translated_host>\S+))\s*\/\s*(?<dest_translated_port>\d+)\s*\)(?:\s*\(\s*(?:(?<dest_nt_domain>[\S^\\]+)\\)?(?<dest_user>[\w\-_]+)\s*\))?(?:\s*\(\s*(?<user>[^\)\s]+)\s*\))?|\(\s*(?<user_ALT>\S+)\s*\))"
"716001","716001: Group (?<group>.*?) User (?<user>.*?) IP (?<vpn_client_ip>.*?) WebVPN session started
"716002","716002: Group (?<group>.*?) User (?<user>.*?) IP (?<vpn_client_ip>.*?) WebVPN session terminated
"716006","716006: Group (?<group>.*?) User (?<user>.*?) WebVPN session terminated"
"716007","716007: Group (?<group>.*?) User (?<user>.*?) WebVPN Unable to create session"
"716009","716009: Group (?<group>.*?) User (?<user>.*?) WebVPN session not allowed"
"716038","716038: Group (?<group>.*?) User (?<user>.*?) IP (?<vpn_client_ip>.*?) Authentication: successful, Session Type: WebVPN"
"716039","716039: Authentication: rejected, group = (?<group>.*?) user = (?<user>.*?) , Session Type: (?<session_type>.*)"
"716058","716058: Group (?<group>.*?) User (?<user>.*?) IP (?<vpn_client_ip>.*?) AnyConnect session lost"
